,id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
0,13188,Riley Park,49.24773,-123.10509,Entire home/apt,150.0,2,283,1.68,1,0,30,23-156488
1,13221,Riley Park,49.25489,-123.09708,Entire home/apt,120.0,31,15,0.15,1,363,0,nan
2,13358,Downtown,49.28117370605469,-123.1259307861328,Entire home/apt,165.0,1,493,3.0,1,0,55,22-311727
3,13490,Kensington-Cedar Cottage,49.25622,-123.06607,Entire home/apt,150.0,30,101,0.66,1,92,5,nan
4,14267,Kensington-Cedar Cottage,49.24922,-123.08139,Entire home/apt,150.0,3,33,0.21,1,17,0,21-156500
5,16254,Hastings-Sunrise,49.27721,-123.04086,Entire home/apt,800.0,5,7,0.11,1,0,0,nan
6,16611,Grandview-Woodland,49.26339,-123.07145,Entire home/apt,100.0,365,3,0.04,5,89,0,nan
7,17765,Mount Pleasant,49.26132,-123.10845,Entire home/apt,,5,203,1.49,1,0,0,21-156705
8,18024,Kensington-Cedar Cottage,49.24781,-123.07241,Private room,,30,0,,1,0,0,nan
9,18270,Mount Pleasant,49.26557,-123.096,Private room,51.0,30,118,0.76,1,234,0,nan
10,18589,Grandview-Woodland,49.27569,-123.07057,Private room,99.0,1,514,3.37,1,0,59,23-156346
11,18795,West End,49.28299,-123.13008,Private room,75.0,30,131,0.85,4,339,3,18-573700
12,19621,Downtown,49.27323,-123.12032,Entire home/apt,250.0,30,2,0.11,2,130,0,nan
13,20085,Kensington-Cedar Cottage,49.25636,-123.08636,Entire home/apt,99.0,30,78,0.46,1,357,2,nan
14,21912,Renfrew-Collingwood,49.23361,-123.05283,Private room,70.0,30,398,2.63,4,137,24,23-156649
15,21913,Renfrew-Collingwood,49.23442,-123.05307,Entire home/apt,72.0,30,233,1.58,4,135,10,22-156397
16,24273,Kitsilano,49.26216,-123.1715,Entire home/apt,150.0,30,17,0.13,2,242,1,20-175617
17,26047,Downtown,49.28086,-123.12375,Entire home/apt,169.0,30,44,0.29,4,97,5,nan
18,33150,Riley Park,49.24677,-123.1048,Entire home/apt,125.0,4,129,0.84,1,299,32,23-156845
19,35304,Grandview-Woodland,49.2729,-123.06973,Entire home/apt,99.0,3,586,3.61,1,279,62,23-156312
20,42645,Downtown,49.28036,-123.1234,Entire home/apt,169.0,30,33,0.2,4,151,0,nan
21,49736,Kitsilano,49.26778,-123.14674,Entire home/apt,,31,9,0.06,1,0,0,nan
22,70453,Downtown Eastside,49.27836,-123.08716,Entire home/apt,391.0,3,37,0.36,3,4,6,19-162091
23,73841,Downtown,49.27591,-123.12359,Entire home/apt,139.0,30,23,0.15,1,85,4,nan
24,77157,Arbutus Ridge,49.2452,-123.16544,Entire home/apt,125.0,2,771,4.97,2,290,55,22-156332
25,98830,Downtown,49.27936,-123.12443,Entire home/apt,,28,271,1.77,1,0,3,18-550967
26,125176,Riley Park,49.24615,-123.09462,Private room,90.0,3,662,4.39,1,7,64,23-157050
27,134688,Renfrew-Collingwood,49.24356,-123.04757,Private room,90.0,30,44,0.29,5,269,2,nan
28,140698,Mount Pleasant,49.26262921288303,-123.1044384134911,Private room,125.0,5,164,1.08,1,0,18,nan
29,172827,Downtown,49.28034,-123.12648,Entire home/apt,,10,7,0.11,1,0,0,18 549804 SA
30,182451,Kitsilano,49.25808,-123.16824,Entire home/apt,131.0,30,58,0.39,1,129,1,18-610-361
31,196722,Grandview-Woodland,49.2634,-123.0712,Entire home/apt,,7,13,0.11,1,0,0,18-549903
32,219261,Kitsilano,49.2719,-123.15043,Entire home/apt,123.0,30,256,2.89,3,314,25,21-157255
33,248014,Grandview-Woodland,49.29103,-123.05782,Entire home/apt,100.0,30,1,0.01,1,218,0,nan
34,254657,Downtown Eastside,49.28375,-123.10383,Entire home/apt,298.0,3,95,0.76,1,34,12,22-156187
35,256178,Kitsilano,49.26293,-123.17143,Entire home/apt,145.0,30,24,0.18,2,0,1,21-156342
36,257163,Kensington-Cedar Cottage,49.23841,-123.0651,Private room,65.0,14,42,0.29,1,72,0,21-156290
37,311354,Grandview-Woodland,49.26328,-123.07086,Entire home/apt,100.0,365,6,0.08,5,89,0,18-475635
38,322824,Downtown,49.27608,-123.12452,Entire home/apt,145.0,30,156,1.09,2,95,5,nan
39,323090,Downtown,49.28244,-123.12293,Entire home/apt,168.0,30,72,0.51,2,0,2,nan
40,359942,Downtown,49.27634,-123.11825,Private room,255.0,30,46,0.32,5,364,0,18607863 AM
41,377706,Grandview-Woodland,49.27799,-123.07101,Private room,,30,58,0.42,1,0,0,nan
42,415700,Renfrew-Collingwood,49.2332,-123.0551,Private room,71.0,30,259,1.82,4,132,23,23-156649
43,436032,Downtown Eastside,49.28211,-123.10453,Entire home/apt,285.0,3,154,1.09,1,327,24,23-156407
